instance_number,instance,number_of_machines,number_of_orders,number_of_workers,alpha,lower_bound,Tc,Tcry,q,IT,gha_gap,gha_obj,sa_Gap,sa_obj,sa_Time
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.95,100,0.972992694775031,673.88,0.973,673.88,3.665
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.95,100,0.972992694775031,673.88,0.973,673.88,3.64
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.95,100,0.972992694775031,673.88,0.973,673.88,4.879
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.95,100,0.972992694775031,673.88,0.973,673.88,3.669
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.95,100,0.972992694775031,673.88,0.973,673.88,3.625
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.9,50,0.972992694775031,673.88,0.973,673.88,0.442
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.9,50,0.972992694775031,673.88,0.973,673.88,0.477
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.9,50,0.972992694775031,673.88,0.973,673.88,0.452
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.9,50,0.972992694775031,673.88,0.973,673.88,0.467
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.9,50,0.972992694775031,673.88,0.973,673.88,0.452
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.9,100,0.972992694775031,673.88,0.973,673.88,1.72
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.9,100,0.972992694775031,673.88,0.973,673.88,1.421
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.9,100,0.972992694775031,673.88,0.973,673.88,0.914
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.9,100,0.972992694775031,673.88,0.973,673.88,0.918
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.9,100,0.972992694775031,673.88,0.973,673.88,0.922
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.95,50,0.972992694775031,673.88,0.973,673.88,0.942
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.95,50,0.972992694775031,673.88,0.973,673.88,0.949
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.95,50,0.972992694775031,673.88,0.973,673.88,0.953
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.95,50,0.972992694775031,673.88,0.973,673.88,0.983
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.95,50,0.972992694775031,673.88,0.973,673.88,0.959
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.95,100,0.972992694775031,673.88,0.973,673.88,1.933
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.95,100,0.972992694775031,673.88,0.973,673.88,3.218
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.95,100,0.972992694775031,673.88,0.973,673.88,1.898
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.95,100,0.972992694775031,673.88,0.973,673.88,1.929
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,20,0.95,100,0.972992694775031,673.88,0.973,673.88,1.92
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.9,50,9.356634288831115,695.12,9.357,695.12,0.758
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.9,50,9.356634288831115,695.12,9.357,695.12,0.717
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.9,50,9.356634288831115,695.12,9.357,695.12,0.739
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.9,50,9.356634288831115,695.12,9.357,695.12,0.767
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.9,50,9.356634288831115,695.12,9.357,695.12,0.764
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.9,100,9.356634288831115,695.12,9.357,695.12,2.603
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.9,100,9.356634288831115,695.12,9.357,695.12,1.699
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.9,100,9.356634288831115,695.12,9.357,695.12,1.47
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.9,100,9.356634288831115,695.12,9.357,695.12,1.505
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.9,100,9.356634288831115,695.12,9.357,695.12,1.51
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.95,50,9.356634288831115,695.12,9.357,695.12,1.581
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.95,50,9.356634288831115,695.12,9.357,695.12,1.523
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.95,50,9.356634288831115,695.12,9.357,695.12,1.72
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.95,50,9.356634288831115,695.12,9.357,695.12,2.622
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.95,50,9.356634288831115,695.12,9.357,695.12,1.5
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.95,100,9.356634288831115,695.12,9.357,695.12,3.097
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.95,100,9.356634288831115,695.12,9.357,695.12,3.106
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.95,100,9.356634288831115,695.12,9.357,695.12,4.011
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.95,100,9.356634288831115,695.12,9.357,695.12,3.365
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,1,0.95,100,9.356634288831115,695.12,9.357,695.12,3.117
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.9,50,9.356634288831115,695.12,9.357,695.12,0.332
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.9,50,9.356634288831115,695.12,9.357,695.12,0.316
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.9,50,9.356634288831115,695.12,9.357,695.12,0.315
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.9,50,9.356634288831115,695.12,9.357,695.12,0.341
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.9,50,9.356634288831115,695.12,9.357,695.12,0.306
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.9,100,9.356634288831115,695.12,9.357,695.12,0.648
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.9,100,9.356634288831115,695.12,9.357,695.12,0.642
1639050698.5298529,1639050698.5298529-Work5,2,50,5,2,635.6450200945828,200,20,0.9,100,9.356634288831115,695.12,9.357,695.12,0.669
